first,last,Rank,linkedin,Growth,Jan 24,title,company,location,Jul 23,Total Ranking,Top Voice,Followers Added
Kyle,Coleman,18,https://www.linkedin.com/in/kyletcoleman,10%,113495,Chief Marketing Officer, Copy.ai ,"Denver, Colorado",103164,15,Top Voice,10331
Brian,Burns,19,https://www.linkedin.com/in/brianburns/,4%,249099,Host,The Best of The Brutal Truth about Sales PodCast,"San Francisco, California",238885,5,Top Voice,10214
Jason,Bay,20,https://www.linkedin.com/in/jasondbay/,16%,68302,Founder & CEO,Outbound Squad,"Vancouver, Washington",58784,36,Top Voice,9518
Kevin,Meyer,21,https://www.linkedin.com/in/kevin-meyer-2931b9b1,93%,19705,Account Executive - Online Brand Protection,Corsearch,"Barcelona, Catalonia, Spain",10228,168,,9477
Florin,Tatulea,22,https://www.linkedin.com/in/florintatulea/,20%,55369,Director of Sales,Barley,"Toronto, Ontario, Canada",45980,47,Top Voice,9389
Daniel,Murray,23,https://www.linkedin.com/in/daniel-murray-marketing/,7%,131648,Content Creator,Workweek,"Austin, Texas",122790,11,Top Digital Marketing Voice,8858
Zoe,Hartsfield,24,https://www.linkedIn.com/in/zoehart,21%,50793,Strategic Advisor,Gated,"Colorado Springs, Colorado",41967,57,,8826
Salman,Mohiuddin,25,https://www.linkedin.com/in/salmanmohiuddin,12%,77120,Founder,Salman Sales Academy,"Toronto, Ontario, Canada",68621,24,,8499
Morgan,Ingram,26,https://www.linkedin.com/in/morganjingram/,6%,159827,Founder and Chief Edutainment Officer (CEO), AMP ,"Atlanta, GA",151427,10, Top Voice,8400
Kevin,Dorsey,27,https://www.linkedin.com/in/kddorsey3/,7%,118065,SVP of Sales and Partnerships,Bench Accounting,"Austin, Texas",109924,14,Top Voice,8141
Krysten,Conner,28,https://www.linkedin.com/in/krystenconner/,28%,36334,Enterprise Account Executive,UserGems,"Austin, Texas",28302,89,,8032
